"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
6	0.074	0	0.074	0	0.032	0	0.03	0	0.03	0	0.014	0	0.042	0	0.042	0	0.02	0
7	0.274	0.044	0.274	0.044	0.24	0.042	0.158	0.02	0.158	0.02	0.142	0.02	0.17	0.088	0.17	0.088	0.166	0.014
5	0.242	0.016	0.242	0.016	0.112	0.004	0.18	0.006	0.18	0.006	0.076	0	0.19	0.004	0.19	0.004	0.082	0.002
9	0.114	0.004	0.114	0.004	0.1	0.002	0.07	0.004	0.07	0.004	0.058	0.002	0.048	0.002	0.048	0.002	0.042	0
12	0.054	0	0.054	0	0.034	0	0.042	0	0.042	0	0.022	0	0.006	0	0.006	0	0.006	0
19	0.01	0	0.01	0	0.018	0	0.008	0	0.008	0	0.012	0	0	0	0	0	0.002	0
11	0.334	0.048	0.334	0.048	0.288	0.084	0.35	0.036	0.35	0.036	0.306	0.062	0.268	0.022	0.268	0.022	0.288	0.048
10	0.116	0.004	0.116	0.004	0.1	0.006	0.172	0.002	0.172	0.002	0.132	0.008	0.082	0	0.082	0	0.146	0.01
24	0.056	0	0.056	0	0.052	0	0.028	0.006	0.028	0.006	0.032	0.004	0.018	0	0.018	0	0.028	0
1	0.07	0	0.07	0	0.084	0	0.028	0	0.028	0	0.044	0	0.024	0	0.024	0	0.006	0
23	0.038	0.002	0.038	0.002	0.04	0.004	0.016	0.002	0.016	0.002	0.03	0.004	0.016	0	0.016	0	0.024	0
45	0.078	0.004	0.078	0.004	0.06	0	0.042	0.002	0.042	0.002	0.034	0	0.008	0.002	0.008	0.002	0.03	0
59	0.042	0	0.042	0	0.034	0.002	0.026	0	0.026	0	0.018	0.002	0.026	0	0.026	0	0.018	0.002
46	0.082	0.106	0.082	0.106	0.064	0.078	0.032	0.034	0.032	0.034	0.032	0.024	0.038	0	0.038	0	0.034	0.012
57	0.004	0.004	0.004	0.004	0.006	0	0.006	0.004	0.006	0.004	0.004	0	0.014	0.004	0.014	0.004	0.006	0
64	0.326	0.026	0.326	0.026	0.258	0.028	0.18	0.012	0.18	0.012	0.158	0.006	0.196	0.008	0.196	0.008	0.178	0.01
60	0.074	0.002	0.074	0.002	0.044	0	0.046	0	0.046	0	0.03	0	0.048	0.002	0.048	0.002	0.03	0
44	0.01	0	0.01	0	0.006	0	0.01	0	0.01	0	0.006	0	0.01	0	0.01	0	0.006	0
67	0.01	0.004	0.01	0.004	0.008	0	0.008	0.002	0.008	0.002	0.004	0	0.01	0	0.01	0	0.008	0
43	0.27	0.026	0.27	0.026	0.252	0.018	0.196	0.008	0.196	0.008	0.184	0.004	0.118	0.002	0.118	0.002	0.154	0.006
51	0.06	0	0.06	0	0.048	0.002	0.034	0	0.034	0	0.022	0	0.032	0	0.032	0	0.028	0
41	0.044	0	0.044	0	0.026	0	0.02	0	0.02	0	0.01	0	0.02	0	0.02	0	0.01	0
52	0.028	0	0.028	0	0.02	0	0.02	0	0.02	0	0.008	0	0.022	0	0.022	0	0.01	0
42	0.004	0	0.004	0	0.004	0	0.002	0	0.002	0	0.002	0	0.004	0	0.004	0	0.002	0
61	0.05	0	0.05	0	0.042	0	0.034	0	0.034	0	0.022	0.002	0.036	0	0.036	0	0.024	0
47	0.004	0	0.004	0	0	0	0.002	0	0.002	0	0	0.002	0.004	0	0.004	0	0.002	0
62	0.024	0	0.024	0	0.02	0	0.01	0	0.01	0	0.01	0	0.008	0	0.008	0	0	0
