"run_ID"	"omni_ns_linT"	"omni_ns_linF"	"omni_is_linT"	"omni_is_linF"	"omni_ls_linT"	"omni_ls_linF"	"link_ns_linT"	"link_ns_linF"	"link_is_linT"	"link_is_linF"	"link_ls_linT"	"link_ls_linF"	"form_ns_linT"	"form_ns_linF"	"form_is_linT"	"form_is_linF"	"form_ls_linT"	"form_ls_linF"
1	12.179	496.682	10.729	493.937	8.769	176.047	6.967	416.966	6.995	421.223	5.036	174.422	6.98	409.078	6.979	412.429	5.005	187.226
3	14.278	426.211	12.502	426.7	10.569	266.001	7.635	408.126	7.707	431.277	5.69799999999999	247.102	7.55799999999999	428.816	7.643	420.617999999999	5.626	190.111
2	14.072	488.579	12.167	477.195	10.303	262.406	7.326	461.432	7.282	478.514	5.52100000000001	224.27	7.21299999999999	449.240000000001	7.08099999999999	492.954	5.48399999999999	158.825
5	10.975	344.339	9.598	342.43	7.944	144.698	6.172	316.417	6.25700000000001	316.526	4.497	113.302	6.333	310.468	6.246	308.908	4.508	110.934
4	14.345	470.104	12.522	412.204	10.588	162.267	7.66999999999999	382.829	7.749	391.717	5.72000000000001	144.986	7.587	395.505	7.68300000000001	395.228	5.651	147.545999999999
6	12.133	465.565	10.257	414.853	8.459	270.145	6.161	462.984	6.251	455.089	4.487	232.741	6.216	441.902	6.27200000000001	449.431	4.46299999999999	217.193
7	13.109	264.832	11.602	262.518	9.797	129.289	6.863	244.34	6.854	246.007	5.087	108.502	6.834	243.567	6.846	244.192	5.059	108.171
9	13.19	350.504	11.675	341.03	9.822	154.899	6.908	317.124	6.908	315.548	5.108	139.647	6.854	322.819	6.846	319.814	5.087	144.14
10	12.851	338.416	10.863	342.053	8.959	144.15	6.546	320.623	6.615	318.067	4.768	120.923	6.587	319.213	6.631	317.866	4.71400000000001	121.228
8	13.17	511.958	11.628	520.148	9.83	318.382	6.87	910.838	6.837	599.228	5.023	656.543000000001	6.819	683.265	6.83199999999999	763.913	4.976	588.907999999999
11	12.989	334.368	11.029	328.817	9.206	154.145	6.498	319.084	6.558	317.147	4.847	135.842	6.54	318.487	6.559	312.317	4.80199999999999	132.684
12	13.204	409.939	11.241	404.412	9.522	170.803	6.57400000000001	379.023	6.59	362.11	4.863	139.625	6.62800000000001	352.263	6.69699999999999	353.896	4.90600000000001	139.236999999999
15	11.695	372.23	10.241	357.853	8.294	147.749	6.591	318.634	6.579	327.814	4.62	130.259	6.579	335.162	6.56399999999999	345.946	4.634	130
13	13.122	518.49	11.322	554.74	9.583	389.102	6.611	394.814	6.614	530.562	4.88	353.306	6.672	457.871999999999	6.72	507.905	4.93400000000001	354.109
14	11.803	607.83	10.295	571.361	8.467	541.177	6.66200000000001	495.81	6.695	497.139	4.889	308.228999999999	6.657	550.14	6.69199999999999	427.130999999999	4.874	278.265
16	11.829	384.03	10.403	372.264	8.503	147.347	6.649	340.07	6.444	346.212	4.53100000000001	117.554	6.626	340.297	6.594	336.849	4.715	112.97
17	11.681	319.977	10.27	316.611	8.522	180.279	6.492	302.918	6.285	302.068	4.537	171.309	6.467	290.07	6.432	312.866	4.72	175.115
18	13.525	363.834	11.809	372.538	9.774	197.541	6.65	349.171	6.623	351.315	4.86	162.692	6.67100000000001	361.299	6.688	353.72	4.77500000000001	151.98
